School,Locality,SEP,QCE,QCIA,VET,SAT,OP,IBD,Senior_Statement_only,PCT_with_QCE_VET_SAT_IBD,PCT_QTAC_applicants_with_tertiary_offer,QCE_N,QCE_VET,QCE_SAT,QCE_CertI,QCE_CertII,QCE_CertIII,QCE_CertIV,QCE_VET_Dip_or_Adv_Dip,QCE_uni_subject_at_school,QCE_VET_Dip_or_Adv_Dip_unit_at_school,not_yet_QCE_N,not_yet_QCE_VET,not_yet_QCE_SAT,not_yet_QCE_CertI,not_yet_QCE_CertII,not_yet_QCE_CertIII,not_yet_QCE_CertIV,not_yet_QCE_VET_Dip_or_AdvDip,not_yet_QCE_uni_subject_at_school,not_yet_QCE_VET_Dip_or_AdvDip_unit_at_school,QCIA_N,QCIA_VET,QCIA_SAT,QCIA_CertI,QCIA_CertII,QCIA_CertIII,OP_N,OP_QCE,OP_VET,OP_SAT,OP_CertI,OP_CertII,OP_CertIII,OP_CertIV,OP_VET_Dip_or_AdvDip,OP_uni_subject_at_school,OP_VET_Dip_or_AdvDip_unit_at_school,OPinelig_N,OPinelig_QCE,OPinelig_VET,OPinelig_SAT,OPinelig_CertI,OPinelig_CertII,OPinelig_CertIII,OPinelig_CertIV,OPinelig_VET_Dip_or_AdvDip,OPinelig_uni_subject_at_school,OPinelig_VET_Dip_or_AdvDip_unit_at_school,OP1_5,OP6_10,OP11_15,OP16_20,OP21_25,IBD_N,IBD_QCE,IBD_VET,IBD_SAT,IBD_CertI,IBD_CertII,IBD_CertIII,IBD_CertIV,IBD_VET_Dip_or_AdvDip,IBD_uni_subject_at_school,IBD_VET_Dip_or_AdvDip_unit_at_school,notIBD_N,notIBD_QCE,notIBD_VET,notIBD_SAT,notIBD_CertI,notIBD_CertII,notIBD_CertIII,notIBD_CertIV,notIBD_VET_Dip_or_AdvDip,notIBD_uni_subject_at_school,notIBD_VET_Dip_or_AdvDip_unit_at_school,IBD45_41,IBD40_36,IBD35_31,IBD30_24
A B Paterson College,Arundel,103,103,--,27,11,76,--,0,100%,97%,103,27,11,9,14,5,--,--,6,4,,,,,,,,,,,,,,,,,76,76,11,--,1,10,--,--,--,6,1,27,27,16,11,8,4,5,--,--,--,3,17,26,28,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboriginal and Islander Independent Community School,Acacia Ridge,4,1,--,1,1,--,--,2,50%,--,,,,,,,,,,,3,1,1,--,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnew School,Wakerley,35,31,--,29,19,5,--,1,97%,--,31,26,17,--,4,20,--,--,--,4,4,3,2,--,1,--,--,--,--,--,,,,,,,5,5,5,4,--,--,5,--,--,--,--,30,26,24,15,--,5,15,--,--,--,4,0,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany Creek State High School,Albany Creek,197,161,--,134,25,112,--,14,90%,96%,161,118,20,95,83,18,--,--,--,23,36,16,5,12,8,2,--,--,--,4,,,,,,,112,101,65,11,53,43,7,--,--,--,17,85,60,69,14,54,48,13,--,--,--,10,15,23,34,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Park Flexible Learning Centre,Brisbane,14,3,--,6,--,--,--,7,50%,50%,3,2,--,--,2,--,--,--,--,1,11,4,--,1,2,1,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldridge State High School,Maryborough,132,103,2,128,12,61,--,2,98%,92%,103,102,10,101,34,1,--,--,--,3,27,25,2,24,8,--,--,--,--,--,2,1,--,1,--,--,61,55,60,4,60,12,1,--,--,--,1,69,48,67,8,65,30,--,--,--,--,2,12,16,17,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandra Hills State High School,Alexandra Hills,232,186,3,126,13,110,--,12,93%,92%,186,96,12,32,76,33,--,--,1,18,43,28,1,12,19,1,--,--,--,6,3,2,--,2,--,--,110,103,33,2,1,29,4,--,--,1,11,119,83,91,11,43,66,30,--,--,--,13,12,28,43,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hallows' School,Brisbane,237,236,--,87,10,181,--,0,100%,99%,236,87,10,--,79,10,--,--,3,16,,,,,,,,,,,,,,,,,181,180,51,4,--,49,--,--,--,3,3,56,56,36,6,--,30,10,--,--,--,13,54,74,45,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,
All Saints Anglican School,Merrimac,166,163,--,46,12,116,--,0,100%,97%,163,43,10,7,30,11,--,--,10,6,3,3,2,2,1,--,--,--,--,--,,,,,,,116,116,15,3,1,11,2,--,--,6,2,50,47,31,9,8,20,9,--,--,4,4,42,42,25,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
All Souls St Gabriels School,Charters Towers,46,29,--,6,5,24,--,7,67%,100%,29,4,3,--,1,1,--,--,--,2,17,2,2,--,1,--,--,--,--,--,,,,,,,24,16,--,--,--,--,--,--,--,--,1,22,13,6,5,--,2,1,--,--,--,1,0,5,6,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglican Church Grammar School,East Brisbane,211,187,--,37,6,188,--,11,91%,95%,187,32,5,--,29,3,--,--,--,9,24,5,1,3,1,--,--,--,--,4,,,,,,,188,180,28,1,--,26,2,--,--,--,11,23,7,9,5,3,4,1,--,--,--,2,52,58,52,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Annandale Christian College,Annandale,18,14,--,4,2,11,--,3,83%,89%,14,3,2,--,1,2,--,--,--,1,4,1,--,--,1,--,--,--,--,--,,,,,,,11,11,1,--,--,--,1,--,--,--,--,7,3,3,2,--,2,1,--,--,--,1,1,5,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquinas College,Southport,127,82,1,79,25,67,--,14,84%,98%,82,54,14,12,38,16,--,--,9,12,44,25,11,6,11,5,--,--,--,7,,,,,,,67,58,38,6,9,27,8,--,--,9,5,59,24,41,19,9,22,13,--,--,--,14,13,18,24,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley Special School,Aspley,8,--,8,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aspley State High School,Aspley,105,57,--,78,12,64,--,3,88%,90%,57,43,5,2,38,12,--,--,--,6,48,35,7,10,29,2,--,--,--,2,,,,,,,64,48,40,2,--,39,12,--,--,--,6,41,9,38,10,12,28,2,--,--,--,2,4,12,17,20,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumption College,Warwick,36,28,--,20,8,24,--,1,89%,100%,28,16,7,5,12,--,--,--,--,2,8,4,1,3,3,--,--,--,--,1,,,,,,,24,20,10,3,2,9,--,--,--,--,1,12,8,10,5,6,6,--,--,--,--,2,2,8,6,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Atherton State High School,Atherton,155,93,5,128,38,78,--,8,88%,98%,93,84,26,56,60,15,--,--,--,3,57,43,12,27,27,2,--,--,--,--,5,1,--,1,--,--,78,65,63,14,41,39,6,--,--,--,--,72,28,64,24,42,48,11,--,--,--,3,17,18,27,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Trade College North Brisbane,Scarborough,123,116,--,123,108,--,--,0,100%,--,116,116,103,8,114,2,--,--,--,3,7,7,5,--,3,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aviation High School,Clayfield,36,14,--,8,3,17,--,8,56%,91%,14,2,1,2,1,--,--,--,--,--,22,6,2,5,--,--,--,--,--,--,,,,,,,17,8,1,--,1,--,--,--,--,--,--,19,6,7,3,6,1,--,--,--,--,--,1,2,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayr State High School,Ayr,68,48,--,25,10,31,--,13,78%,96%,48,20,7,8,8,--,--,--,--,1,20,5,3,2,--,--,--,--,--,1,,,,,,,31,29,7,3,--,6,--,--,--,--,1,37,19,18,7,10,2,--,--,--,--,1,4,6,13,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Babinda State School,Babinda,25,20,--,7,3,15,--,2,88%,89%,20,5,2,2,2,--,--,--,--,--,5,2,1,2,--,--,--,--,--,--,,,,,,,15,14,1,--,--,1,--,--,--,--,--,10,6,6,3,4,1,--,--,--,--,--,3,4,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Balmoral State High School,Morningside,59,38,--,33,7,42,--,3,88%,89%,38,23,4,2,21,--,--,--,--,2,21,10,3,5,4,--,--,--,--,2,,,,,,,42,33,23,4,2,21,--,--,--,--,4,17,5,10,3,5,4,--,--,--,--,--,2,9,10,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcaldine Prep-12 State School,Barcaldine,20,16,1,10,8,8,--,1,95%,88%,16,7,5,--,3,1,--,--,--,--,3,2,2,--,1,--,--,--,--,--,1,1,1,--,--,--,8,8,2,2,--,--,--,--,--,--,--,11,8,7,5,--,4,1,--,--,--,--,0,2,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Beaudesert State High School,Beaudesert,166,86,4,92,42,98,--,5,83%,98%,86,41,19,21,19,4,--,--,--,2,76,47,23,37,13,2,--,--,--,3,4,4,--,4,--,--,98,68,29,17,6,13,5,--,--,--,4,64,18,59,25,52,19,1,--,--,--,1,15,25,28,26,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh Special School,Mount Warren Park,10,--,8,--,--,--,--,2,0%,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beenleigh State High School,Beenleigh,91,47,--,78,18,33,--,1,93%,92%,47,40,11,25,36,11,--,--,--,4,44,38,7,21,28,4,--,--,1,5,,,,,,,33,19,21,4,9,17,6,--,--,--,5,58,28,57,14,37,47,9,--,--,1,4,2,3,8,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Beerwah State High School,Beerwah,129,87,--,40,33,83,--,20,75%,97%,87,30,26,1,21,2,--,--,1,3,42,10,7,1,7,1,--,--,--,3,,,,,,,83,66,25,18,2,18,2,--,--,1,3,46,21,15,15,--,10,1,--,--,--,3,9,25,22,23,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Benowa State High School,Benowa,194,157,--,129,25,98,--,0,96%,89%,157,100,18,70,36,37,--,11,3,27,37,29,7,28,6,6,--,1,--,7,,,,,,,98,89,33,2,2,18,16,--,9,3,16,96,68,96,23,96,24,27,--,3,--,18,9,23,25,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Park College,Edmonton,82,37,4,51,9,26,--,18,72%,75%,37,29,3,27,9,5,--,2,--,3,41,22,6,21,4,--,--,--,--,2,,,,,,,26,21,20,1,19,2,1,--,--,--,--,52,16,31,8,29,11,4,--,2,--,5,0,2,9,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloela State High School,Biloela,63,35,1,38,8,29,--,2,83%,100%,35,21,3,11,10,8,--,--,3,2,27,16,5,14,2,--,--,--,--,--,1,1,--,1,--,--,29,20,6,--,1,3,2,--,--,3,1,33,15,31,8,24,9,6,--,--,--,1,9,10,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackall State School,Blackall,9,7,1,5,1,3,--,1,78%,100%,7,5,1,--,5,--,--,--,--,--,,,,,,,,,,,,,,,,,3,3,2,--,--,2,--,--,--,--,--,5,4,3,1,--,3,--,--,--,--,--,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackheath and Thornburgh College,Charters Towers,25,15,--,13,3,13,--,2,84%,100%,15,7,2,3,3,1,1,--,--,--,10,6,1,1,4,--,1,--,--,--,,,,,,,13,9,4,2,--,1,1,1,--,--,--,12,6,9,1,4,6,--,1,--,--,--,0,4,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwater State High School,Blackwater,51,42,--,51,18,16,--,0,100%,93%,42,42,17,13,42,6,--,--,--,2,9,9,1,5,9,--,--,--,--,--,,,,,,,16,13,16,2,2,16,1,--,--,--,1,35,29,35,16,16,35,5,--,--,--,1,0,3,5,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Boonah State High School,Boonah,83,52,--,36,13,41,--,8,82%,89%,52,20,7,9,14,3,1,--,--,6,31,16,6,5,8,1,--,--,--,1,,,,,,,41,31,8,1,2,4,--,1,--,--,3,42,21,28,12,12,18,4,--,--,--,4,4,8,7,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bowen State High School,Bowen,85,61,--,55,13,40,--,5,89%,83%,61,40,9,6,33,6,--,--,--,2,24,15,4,4,10,--,--,--,--,1,,,,,,,40,33,16,4,--,12,1,--,--,--,1,45,28,39,9,10,31,5,--,--,--,2,5,11,15,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bracken Ridge State High School,Bracken Ridge,69,45,--,67,9,36,--,0,100%,92%,45,43,5,43,8,--,--,--,--,6,24,24,4,23,4,--,--,--,--,1,,,,,,,36,31,36,3,36,4,--,--,--,--,5,33,14,31,6,30,8,--,--,--,--,2,6,9,14,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bray Park State High School,Bray Park,90,67,--,78,9,48,--,2,96%,96%,67,59,8,35,48,7,--,--,--,11,23,19,1,18,14,--,--,--,--,--,,,,,,,48,45,38,2,22,29,6,--,--,--,8,42,22,40,7,31,33,1,--,--,--,3,4,12,15,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bremer State High School,Ipswich,137,62,--,44,6,67,--,37,59%,85%,62,25,2,3,20,1,--,--,--,6,75,19,4,14,2,1,--,--,--,2,,,,,,,67,46,18,1,1,16,1,--,--,--,5,70,16,26,5,16,6,1,--,--,--,3,4,20,18,20,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bribie Island State High School,Bribie Island,127,90,2,75,33,57,--,12,85%,93%,90,57,23,28,31,5,--,--,--,8,35,18,10,9,6,1,--,--,--,--,,,,,,,57,50,24,9,3,16,4,--,--,--,8,68,40,51,24,34,21,2,--,--,--,--,2,9,22,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigidine College,Indooroopilly,95,90,--,16,1,90,--,1,96%,98%,90,15,1,--,15,--,--,--,--,11,5,1,--,--,1,--,--,--,--,1,,,,,,,90,87,14,1,--,14,--,--,--,--,11,5,3,2,--,--,2,--,--,--,--,1,13,27,21,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Adventist College,Wishart,37,30,--,1,--,34,--,2,81%,88%,30,1,--,--,1,--,--,--,--,2,7,--,--,--,--,--,--,--,--,1,,,,,,,34,29,1,--,--,1,--,--,--,--,2,3,1,--,--,--,--,--,--,--,--,1,8,9,8,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Bayside State College,Wynnum West,88,68,3,68,11,38,--,3,95%,79%,68,52,7,35,42,8,--,--,--,14,17,14,4,9,9,--,--,--,--,2,3,2,--,2,--,1,38,36,22,5,6,14,4,--,--,--,11,47,32,44,6,38,37,4,--,--,--,5,6,7,8,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Boys' College,Toowong,211,180,--,23,11,151,--,18,89%,94%,180,15,4,--,13,1,--,--,6,5,31,8,7,--,2,1,--,--,--,7,,,,,,,151,146,11,1,--,11,--,--,--,6,2,60,34,12,10,--,4,2,--,--,--,10,66,52,23,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Christian College,Salisbury,25,11,--,5,1,21,--,3,48%,79%,11,4,--,--,4,--,--,--,--,--,14,1,1,--,--,--,--,--,--,2,,,,,,,21,11,4,--,--,4,--,--,--,--,2,4,0,1,1,--,--,--,--,--,--,--,2,3,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Girls Grammar School,Brisbane,226,223,--,27,--,224,--,0,99%,100%,223,26,--,--,26,--,--,--,2,7,3,1,--,--,1,--,--,--,--,--,,,,,,,224,222,26,--,--,26,--,--,--,2,7,2,1,1,--,--,1,--,--,--,--,--,97,70,45,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Grammar School,Brisbane,239,226,--,--,--,238,--,1,95%,98%,226,--,--,--,--,--,--,--,--,3,13,--,--,--,--,--,--,--,--,3,,,,,,,238,226,--,--,--,--,--,--,--,--,6,,,,,,,,,,,,119,68,35,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane School of Distance Education,Coorparoo,82,35,1,25,11,26,--,30,59%,92%,35,12,5,2,7,3,1,--,3,3,46,13,6,3,6,2,--,--,1,4,,,,,,,26,20,5,2,2,2,1,--,--,3,2,55,15,20,9,3,11,4,1,--,1,5,9,8,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane State High School,South Brisbane,411,366,--,93,29,363,--,14,92%,96%,366,80,22,1,62,19,3,--,31,21,45,13,7,1,8,1,--,--,1,6,,,,,,,363,341,62,10,1,49,6,2,--,32,22,48,25,31,19,1,21,14,1,--,--,5,116,121,72,43,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisbane Youth Education Training Centre,Wacol,6,1,--,5,--,--,--,1,83%,--,1,1,--,1,1,--,--,--,--,--,5,4,--,4,--,--,--,--,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browns Plains State High School,Browns Plains,155,126,--,111,25,60,--,9,92%,93%,126,95,15,50,69,9,--,--,--,14,29,16,10,6,10,--,--,--,--,3,,,,,,,60,55,38,--,14,26,--,--,--,--,10,95,71,73,25,42,53,9,--,--,--,7,7,9,19,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Christian College,Bundaberg,38,27,--,10,8,32,--,3,76%,100%,27,8,7,2,2,--,--,--,1,2,11,2,1,--,1,--,--,--,--,--,,,,,,,32,25,7,6,2,1,--,--,--,1,2,6,2,3,2,--,2,--,--,--,--,--,5,5,10,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg North State High School,Bundaberg North,132,85,--,79,12,58,--,10,89%,93%,85,47,6,9,43,1,--,--,--,--,47,32,6,14,24,1,--,--,--,1,,,,,,,58,51,20,3,--,20,--,--,--,--,1,74,34,59,9,23,47,2,--,--,--,--,13,15,12,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg Special School,Bundaberg,14,--,5,3,--,--,--,6,21%,--,,,,,,,,,,,9,3,--,2,--,--,--,1,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundaberg State High School,Bundaberg,189,126,12,152,21,96,--,13,89%,89%,126,110,12,98,47,20,6,--,--,3,52,37,9,30,9,1,--,--,--,--,12,6,--,6,2,--,96,83,82,11,73,29,9,6,--,--,1,81,42,64,10,54,26,12,--,--,--,2,12,22,37,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundamba State Secondary College,Bundamba,95,28,--,52,10,34,--,16,69%,85%,28,14,2,7,12,2,--,--,--,3,67,38,8,26,16,--,--,--,--,4,,,,,,,34,16,9,2,2,7,1,--,--,--,2,61,12,43,8,31,21,1,--,--,--,5,1,2,8,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin Catholic High School,Ayr,35,32,--,22,2,22,--,1,97%,100%,32,20,1,14,19,--,--,--,--,--,3,2,1,2,1,--,--,--,--,--,,,,,,,22,22,11,--,5,11,--,--,--,--,--,13,10,11,2,11,9,--,--,--,--,--,8,6,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Burdekin School,Ayr,1,--,1,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnett State College,Gayndah,36,26,3,30,8,15,--,0,89%,91%,26,24,6,17,21,5,--,--,--,--,7,6,2,4,2,--,--,--,--,1,,,,,,,15,14,12,2,9,10,2,--,--,--,--,18,12,18,6,12,13,3,--,--,--,1,2,3,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnside State High School,Nambour,79,45,--,61,37,34,--,14,81%,91%,45,42,28,11,27,6,--,--,--,1,34,19,9,11,9,--,--,--,--,--,,,,,,,34,30,30,19,7,20,4,--,--,--,--,45,15,31,18,15,16,2,--,--,--,1,1,8,11,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture Special School,Morayfield,13,--,13,3,--,--,--,0,23%,--,,,,,,,,,,,,,,,,,,,,,13,3,--,2,1,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caboolture State High School,Caboolture,155,106,--,103,22,77,--,20,84%,91%,106,79,17,19,66,18,--,--,--,9,49,24,5,11,12,--,--,--,--,6,,,,,,,77,67,49,6,2,45,11,--,--,--,6,78,39,54,16,28,33,7,--,--,--,9,8,16,24,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns School of Distance Education,Manunda Cairns,7,3,1,3,3,1,--,1,71%,100%,3,1,1,--,--,--,--,--,--,--,3,2,2,1,1,--,--,--,--,--,,,,,,,,,,,,,,,,,,5,2,3,3,1,1,--,--,--,--,--,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cairns State High School,Cairns,239,172,3,74,23,149,--,22,80%,94%,172,55,16,18,27,13,--,3,--,7,64,18,7,7,2,3,--,3,--,4,3,1,--,1,1,--,149,123,27,11,8,10,7,--,2,--,4,87,49,46,12,17,19,9,--,4,--,7,20,32,53,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamvale Community College,Calamvale,138,91,--,138,13,67,--,0,100%,90%,91,91,9,91,48,4,--,--,1,9,47,47,4,47,15,--,--,2,--,12,,,,,,,67,56,67,4,67,34,1,--,--,1,8,71,35,71,9,71,29,3,--,2,--,13,4,14,23,20,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamvale State Special School,Calamvale,9,--,9,--,--,--,--,0,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calen District State College,Calen,17,14,--,13,1,6,--,0,100%,100%,14,10,1,1,10,--,--,--,1,1,3,3,--,2,1,--,--,--,--,--,,,,,,,6,6,6,--,--,6,--,--,--,1,--,11,8,7,1,3,5,--,--,--,--,1,0,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra Christian College,Caloundra,36,29,--,31,11,29,--,0,97%,91%,29,25,10,14,16,4,--,--,2,2,7,6,1,6,2,--,--,--,--,1,,,,,,,29,27,24,10,13,17,4,--,--,2,2,7,2,7,1,7,1,--,--,--,--,1,1,8,7,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Caloundra State High School,Caloundra,226,155,2,93,32,151,--,20,82%,93%,155,62,18,27,35,7,--,--,5,11,69,29,14,13,7,--,--,--,--,10,2,2,--,--,2,--,151,124,50,15,19,23,5,--,--,4,12,73,31,41,17,21,19,2,--,--,1,9,18,26,42,50,15,,,,,,,,,,,,,,,,,,,,,,,,,,
